5657,23/04/2022,"['8', '0', '6', '4']","['6', '5', '6', '6']","['6', '7', '4', '6']","['6', '5', '2', '3']","['3', '1', '5', '6']"
5656,20/04/2022,"['1', '8', '2', '0']","['8', '9', '0', '6']","['6', '5', '7', '9']","['1', '1', '7', '1']","['3', '6', '8', '7']"
5655,16/04/2022,"['0', '8', '7', '1']","['4', '3', '2', '7']","['5', '0', '7', '0']","['4', '7', '0', '1']","['3', '0', '8', '5']"
5654,13/04/2022,"['4', '7', '9', '8']","['7', '5', '6', '3']","['9', '5', '2', '0']","['2', '4', '7', '0']","['3', '4', '9', '3']"
5653,09/04/2022,"['4', '8', '0', '5']","['2', '0', '3', '2']","['9', '3', '5', '9']","['1', '7', '4', '2']","['3', '1', '4', '7']"
5652,06/04/2022,"['6', '4', '9', '7']","['4', '3', '0', '2']","['9', '5', '7', '7']","['8', '8', '5', '2']","['8', '4', '1', '3']"
5651,02/04/2022,"['8', '2', '0', '5']","['3', '6', '9', '8']","['9', '2', '3', '7']","['4', '6', '0', '1']","['1', '9', '6', '2']"
5650,30/03/2022,"['2', '4', '6', '3']","['5', '3', '9', '5']","['6', '5', '0', '7']","['3', '2', '7', '9']","['6', '2', '2', '3']"
5649,26/03/2022,"['6', '5', '4', '2']","['8', '7', '8', '5']","['5', '2', '2', '9']","['9', '3', '8', '5']","['7', '8', '8', '2']"
5648,23/03/2022,"['9', '5', '9', '8']","['6', '6', '7', '8']","['0', '1', '9', '1']","['3', '7', '4', '1']","['1', '8', '4', '8']"
5647,19/03/2022,"['2', '0', '5', '1']","['9', '6', '7', '4']","['5', '9', '9', '8']","['1', '1', '6', '3']","['6', '9', '9', '0']"
5646,16/03/2022,"['2', '4', '1', '5']","['5', '8', '3', '8']","['3', '7', '9', '9']","['4', '3', '8', '7']","['9', '4', '1', '4']"
5645,12/03/2022,"['8', '6', '7', '6']","['9', '3', '7', '4']","['3', '2', '5', '1']","['0', '4', '0', '7']","['7', '5', '1', '7']"
5644,09/03/2022,"['8', '4', '0', '4']","['6', '3', '6', '6']","['0', '9', '8', '8']","['7', '8', '7', '8']","['0', '0', '6', '8']"
5643,05/03/2022,"['7', '2', '5', '6']","['3', '5', '0', '4']","['4', '6', '9', '7']","['7', '7', '1', '6']","['3', '5', '2', '7']"
5642,26/02/2022,"['1', '9', '7', '3']","['0', '1', '5', '5']","['5', '8', '1', '0']","['7', '7', '5', '6']","['2', '4', '8', '4']"
5641,23/02/2022,"['8', '5', '2', '4']","['7', '3', '0', '0']","['1', '8', '7', '9']","['6', '1', '7', '9']","['4', '9', '3', '5']"
5640,19/02/2022,"['2', '6', '4', '6']","['9', '3', '1', '2']","['9', '0', '4', '4']","['2', '2', '7', '1']","['7', '1', '5', '9']"
5639,16/02/2022,"['9', '0', '0', '5']","['8', '3', '5', '1']","['8', '2', '1', '8']","['5', '1', '1', '3']","['0', '0', '5', '0']"
5638,12/02/2022,"['7', '9', '5', '1']","['2', '1', '0', '6']","['8', '8', '5', '5']","['4', '6', '2', '5']","['9', '2', '6', '5']"
